DE,bit_pos,SHCOARSE,ABSENT,DE TIME,EGY,MODE,TOF0,TOF1,TOF2,TOF3,CKSM,POS
0,97,460400745,0,3486,1,1,168,65535,108,70,8,255
1,146,460400745,0,2231,1,1,170,65535,112,70,6,255
2,195,460400745,0,2608,1,1,178,65535,102,50,12,255
3,244,460400745,0,3536,1,1,166,65535,102,74,6,255
4,298,460400745,0,3298,1,0,798,448,444,68,255,255
5,347,460400745,0,3275,1,1,186,65535,116,44,12,255
6,376,460400745,13,3672,1,0,65535,65535,116,65535,255,255
7,425,460400745,0,4066,1,1,164,65535,108,68,8,255
8,479,460400745,0,3718,1,0,1012,584,526,68,255,255
9,533,460400745,0,3889,1,0,1030,600,494,38,255,255
10,582,460400745,0,3118,1,1,174,65535,110,70,4,255
11,631,460400745,0,3620,1,1,200,65535,106,68,8,255
12,685,460400745,0,3534,1,0,898,494,500,66,255,255
13,734,460400745,0,3842,1,1,180,65535,122,68,6,255
14,783,460400745,0,3714,1,1,166,65535,106,68,6,255
15,832,460400745,0,1718,1,1,184,65535,102,46,10,255
16,881,460400745,0,3954,1,1,182,65535,108,42,10,255
17,930,460400745,0,3744,1,1,184,65535,108,46,12,255
18,979,460400745,0,3665,1,1,170,65535,108,70,6,255
19,1033,460400745,0,3806,1,0,864,476,484,68,255,255
20,1082,460400745,0,3672,1,1,166,65535,108,68,8,255
21,1136,460400745,0,3484,1,0,1032,664,470,70,255,255
22,1185,460400745,0,4068,1,1,178,65535,104,74,8,255
23,1234,460400745,0,3902,1,1,170,65535,110,70,6,255
24,1283,460400745,0,3926,1,1,164,65535,106,68,8,255
25,1332,460400745,0,3850,1,1,180,65535,100,42,12,255
26,1386,460400745,0,3017,1,0,834,470,432,40,255,255
27,1435,460400745,0,3875,1,1,176,65535,100,44,12,255
28,1489,460400745,0,3195,1,0,962,584,444,40,255,255
29,1538,460400745,0,4035,1,1,186,65535,118,42,12,255
30,1587,460400745,0,1613,1,1,218,65535,116,44,10,255
31,1636,460400745,0,3610,1,1,204,65535,106,42,10,255
32,1685,460400745,0,3839,1,1,168,65535,114,70,6,255
33,1734,460400745,0,3637,1,1,166,65535,104,68,10,255
34,1783,460400745,0,2750,1,1,168,65535,108,70,6,255
35,1832,460400745,0,3542,1,1,168,65535,114,70,6,255
36,1881,460400745,0,3643,1,1,172,65535,118,68,10,255
37,1935,460400745,0,2900,1,0,894,560,426,64,255,255
38,1984,460400745,0,2235,1,1,164,65535,100,68,6,255
39,2033,460400745,0,4033,1,1,168,65535,112,68,8,255
40,2082,460400745,0,3434,1,1,184,65535,124,42,10,255
41,2131,460400745,0,4001,1,1,166,65535,110,70,6,255
42,2180,460400745,0,3932,1,1,180,65535,110,40,10,255
43,2229,460400745,0,3924,1,1,168,65535,106,70,6,255
44,2278,460400745,0,3482,1,1,170,65535,112,70,8,255
45,2327,460400745,0,3698,1,1,186,65535,106,46,12,255
46,2376,460400745,0,3478,1,1,172,65535,114,68,6,255
47,2425,460400745,0,3220,1,1,172,65535,118,70,8,255
48,2474,460400745,0,3530,1,1,144,65535,124,66,8,255
49,2528,460400745,0,3746,1,0,1006,588,516,68,255,255
50,2577,460400745,0,3770,1,1,182,65535,110,44,10,255
51,2626,460400745,0,2753,1,1,154,65535,100,66,10,255
52,2675,460400745,0,3689,1,1,168,65535,116,68,8,255
53,2724,460400745,0,79,1,1,166,65535,106,70,6,255
54,2773,460400745,0,3131,1,1,176,65535,108,70,6,255
55,2822,460400745,0,3558,1,1,148,65535,112,70,8,255
56,2871,460400745,0,3448,1,1,152,65535,102,66,8,255
57,2920,460400745,0,4055,1,1,182,65535,108,42,12,255
58,2969,460400745,0,2453,1,1,138,65535,86,68,8,255
59,3000,460400745,10,870,1,1,65535,846,65535,65535,255,1
60,3049,460400745,0,3743,2,1,164,65535,120,68,8,255
61,3098,460400745,0,3117,2,1,170,65535,106,68,6,255
62,3147,460400745,0,2586,2,1,168,65535,106,68,8,255
63,3196,460400745,0,4082,2,1,186,65535,106,42,10,255
64,3250,460400745,0,3229,2,0,1066,686,452,42,255,255
65,3304,460400745,0,3459,2,0,950,528,518,68,255,255
66,3335,460400745,10,3561,2,1,65535,54,65535,65535,255,0
67,3384,460400745,0,2337,2,1,176,65535,104,72,6,255
68,3415,460400745,10,3180,2,1,65535,128,65535,65535,255,1
69,3464,460400745,0,2262,2,1,166,65535,110,70,8,255
70,3513,460400745,0,4080,2,1,178,65535,114,72,8,255
71,3567,460400745,0,3844,2,0,936,544,490,70,255,255
72,3599,460400745,6,3366,2,1,180,65535,65535,65535,255,1
73,3648,460400745,0,3011,2,1,180,65535,106,44,10,255
74,3680,460400745,6,4017,2,1,34,65535,65535,65535,255,3
75,3709,460400745,13,4020,2,0,65535,65535,496,65535,255,255
76,3740,460400745,10,3792,2,1,65535,62,65535,65535,255,1
77,3772,460400745,6,3666,2,1,176,65535,65535,65535,255,0
78,3804,460400745,6,2653,2,1,134,65535,65535,65535,255,2
79,3836,460400745,6,219,2,1,8,65535,65535,65535,255,2
80,3885,460400745,0,1966,2,1,184,65535,110,44,10,255
81,3934,460400745,0,3828,2,1,182,65535,112,42,10,255
82,3965,460400745,10,2218,2,1,65535,50,65535,65535,255,2
83,4014,460400745,0,3564,2,1,194,65535,104,52,10,255
84,4063,460400745,0,3738,2,1,164,65535,116,70,6,255
85,4092,460400745,13,3448,2,0,65535,65535,492,65535,255,255
86,4141,460400745,0,1786,2,1,180,65535,104,48,12,255
87,4190,460400745,0,2999,2,1,168,65535,108,70,6,255
88,4239,460400745,0,3946,2,1,166,65535,114,70,8,255
89,4288,460400745,0,3982,2,1,168,65535,102,72,6,255
90,4337,460400745,0,3297,2,1,184,65535,122,40,10,255
91,4386,460400745,0,3444,2,1,166,65535,106,68,8,255
92,4435,460400745,0,2743,2,1,172,65535,118,68,8,255
93,4484,460400745,0,3943,2,1,162,65535,98,66,8,255
94,4533,460400745,0,4070,2,1,186,65535,114,42,10,255
95,4587,460400745,0,3499,2,0,818,472,444,70,255,255
96,4641,460400745,0,4079,2,0,848,810,108,42,255,255
97,4690,460400745,0,3503,2,1,166,65535,100,68,6,255
98,4739,460400745,0,2741,2,1,168,65535,100,72,6,255
99,4788,460400745,0,3662,2,1,188,65535,104,44,10,255
100,4837,460400745,0,3358,2,1,180,65535,112,42,10,255
101,4886,460400745,0,2367,2,1,172,65535,118,68,4,255
102,4940,460400745,0,4078,2,0,1326,862,538,44,255,255
103,4994,460400745,0,3997,2,0,1030,594,530,66,255,255
104,5043,460400745,0,3726,2,1,158,65535,98,70,8,255
105,5092,460400745,0,4043,2,1,186,65535,120,40,10,255
106,5141,460400745,0,3591,2,1,182,65535,112,42,10,255
107,5190,460400745,0,3988,2,1,178,65535,98,42,14,255
108,5239,460400745,0,3037,2,1,180,65535,106,44,10,255
109,5293,460400745,0,3419,2,0,1242,818,522,68,255,255
110,5342,460400745,0,4016,2,1,168,65535,104,70,8,255
111,5396,460400745,0,3695,2,0,1636,218,500,66,255,255
112,5445,460400745,0,3867,2,1,180,65535,110,68,6,255
113,5494,460400745,0,3491,3,1,184,65535,118,42,12,255
114,5543,460400745,0,3460,3,1,174,65535,114,68,8,255
115,5592,460400745,0,3231,3,1,168,65535,110,68,6,255
116,5641,460400745,0,3797,3,1,182,65535,110,46,10,255
117,5690,460400745,0,3964,3,1,170,65535,110,68,6,255
118,5739,460400745,0,3386,3,1,168,65535,104,68,8,255
119,5788,460400745,0,2113,3,1,170,65535,116,68,8,255
120,5837,460400745,0,4043,3,1,168,65535,104,76,8,255
121,5886,460400745,0,3987,3,1,168,65535,116,72,6,255
122,5935,460400745,0,3331,3,1,170,65535,102,70,8,255
123,5989,460400745,0,2876,3,0,730,434,390,68,255,255
124,6043,460400745,0,4040,3,0,1110,644,566,68,255,255
125,6092,460400745,0,3644,3,1,164,65535,104,70,8,255
126,6141,460400745,0,3920,3,1,178,65535,112,42,10,255
127,6190,460400745,0,3988,3,1,180,65535,122,44,10,255
128,6239,460400745,0,3235,3,1,178,65535,102,50,10,255
129,6288,460400745,0,2593,3,1,178,65535,102,42,10,255
130,6337,460400745,0,2076,3,1,178,65535,104,44,12,255
131,6391,460400745,0,4050,3,0,820,480,406,40,255,255
132,6440,460400745,0,3986,3,1,202,65535,112,34,12,255
133,6489,460400745,0,3861,3,1,178,65535,106,50,8,255
134,6538,460400745,0,2859,3,1,174,65535,114,68,8,255
135,6592,460400745,0,2440,3,0,1034,636,508,80,255,255
136,6641,460400745,0,3791,3,1,180,65535,102,40,10,255
137,6690,460400745,0,3910,3,1,162,65535,104,68,8,255
138,6739,460400745,0,2798,3,1,172,65535,106,68,6,255
139,6788,460400745,0,3968,3,1,170,65535,100,74,8,255
140,6820,460400745,6,1905,3,1,132,65535,65535,65535,255,2
141,6869,460400745,0,3692,3,1,206,65535,118,44,10,255
142,6918,460400745,0,3425,3,1,164,65535,102,72,10,255
143,6972,460400745,0,3117,3,0,1414,854,658,66,255,255
144,7021,460400745,0,3406,3,1,168,65535,98,68,6,255
145,7070,460400745,0,2942,3,1,168,65535,110,70,6,255
146,7101,460400745,10,3234,3,1,65535,144,65535,65535,255,0
147,7133,460400745,6,3404,3,1,32,65535,65535,65535,255,2
148,7162,460400745,13,4035,3,0,65535,65535,104,65535,255,255
149,7194,460400745,6,3227,3,1,0,65535,65535,65535,255,2
150,7225,460400745,10,3981,3,1,65535,138,65535,65535,255,0
151,7257,460400745,6,3707,3,1,38,65535,65535,65535,255,3
152,7289,460400745,6,2897,3,1,42,65535,65535,65535,255,2
153,7338,460400745,0,3767,3,1,184,65535,116,50,8,255
154,7387,460400745,0,3543,3,1,168,65535,114,70,8,255
155,7436,460400745,0,3392,3,1,170,65535,106,40,10,255
156,7485,460400745,0,3757,3,1,180,65535,108,42,10,255
157,7517,460400745,6,3812,3,1,18,65535,65535,65535,255,3
158,7549,460400745,6,3155,3,1,172,65535,65535,65535,255,0
159,7598,460400745,0,762,3,1,188,65535,108,42,10,255
160,7630,460400745,6,3965,3,1,188,65535,65535,65535,255,1
161,7679,460400745,0,3122,3,1,184,65535,106,48,12,255
162,7733,460400745,0,3681,3,0,1366,860,604,70,255,255
